"filename", "language", "Markdown", "Dotenv", "Python", "JSON", "pip requirements", "comment", "blank", "total"
"/home/lucho/projects/music/midi_echo/.env", "Dotenv", 0, 10, 0, 0, 0, 9, 3, 22
"/home/lucho/projects/music/midi_echo/README.md", "Markdown", 194, 0, 0, 0, 0, 0, 51, 245
"/home/lucho/projects/music/midi_echo/arp_preset.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 46
"/home/lucho/projects/music/midi_echo/main.py", "Python", 0, 0, 105, 0, 0, 13, 28, 146
"/home/lucho/projects/music/midi_echo/requirements.txt", "pip requirements", 0, 0, 0, 0, 8, 0, 0, 8
"/home/lucho/projects/music/midi_echo/simple.py", "Python", 0, 0, 8, 0, 0, 0, 1, 9
"/home/lucho/projects/music/midi_echo/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/lucho/projects/music/midi_echo/src/config/__init__.py", "Python", 0, 0, 2, 0, 0, 1, 3, 6
"/home/lucho/projects/music/midi_echo/src/config/config.py", "Python", 0, 0, 40, 0, 0, 14, 13, 67
"/home/lucho/projects/music/midi_echo/src/gui/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/home/lucho/projects/music/midi_echo/src/gui/app.py", "Python", 0, 0, 156, 0, 0, 26, 28, 210
"/home/lucho/projects/music/midi_echo/src/gui/components/__init__.py", "Python", 0, 0, 12, 0, 0, 1, 3, 16
"/home/lucho/projects/music/midi_echo/src/gui/components/button_panel.py", "Python", 0, 0, 72, 0, 0, 53, 21, 146
"/home/lucho/projects/music/midi_echo/src/gui/components/layout_utils.py", "Python", 0, 0, 27, 0, 0, 19, 15, 61
"/home/lucho/projects/music/midi_echo/src/gui/components/lightbox.py", "Python", 0, 0, 14, 0, 0, 18, 8, 40
"/home/lucho/projects/music/midi_echo/src/gui/components/pattern_editor.py", "Python", 0, 0, 47, 0, 0, 14, 13, 74
"/home/lucho/projects/music/midi_echo/src/gui/components/popup_manager.py", "Python", 0, 0, 189, 0, 0, 77, 43, 309
"/home/lucho/projects/music/midi_echo/src/gui/components/preset_selector.py", "Python", 0, 0, 104, 0, 0, 18, 25, 147
"/home/lucho/projects/music/midi_echo/src/gui/components/tabs/__init__.py", "Python", 0, 0, 12, 0, 0, 1, 3, 16
"/home/lucho/projects/music/midi_echo/src/gui/components/tabs/advanced_tab.py", "Python", 0, 0, 113, 0, 0, 8, 19, 140
"/home/lucho/projects/music/midi_echo/src/gui/components/tabs/modes_tab.py", "Python", 0, 0, 151, 0, 0, 6, 17, 174
"/home/lucho/projects/music/midi_echo/src/gui/components/tabs/pattern_tab.py", "Python", 0, 0, 178, 0, 0, 16, 24, 218
"/home/lucho/projects/music/midi_echo/src/gui/components/tabs/timing_tab.py", "Python", 0, 0, 131, 0, 0, 8, 16, 155
"/home/lucho/projects/music/midi_echo/src/gui/components/tabs/velocity_tab.py", "Python", 0, 0, 73, 0, 0, 4, 11, 88
"/home/lucho/projects/music/midi_echo/src/gui/components/tempo_editor.py", "Python", 0, 0, 61, 0, 0, 7, 13, 81
"/home/lucho/projects/music/midi_echo/src/gui/components/theme.py", "Python", 0, 0, 88, 0, 0, 74, 17, 179
"/home/lucho/projects/music/midi_echo/src/gui/components/widgets.py", "Python", 0, 0, 259, 0, 0, 40, 51, 350
"/home/lucho/projects/music/midi_echo/src/gui/context.py", "Python", 0, 0, 29, 0, 0, 17, 8, 54
"/home/lucho/projects/music/midi_echo/src/gui/handlers/__init__.py", "Python", 0, 0, 20, 0, 0, 1, 3, 24
"/home/lucho/projects/music/midi_echo/src/gui/handlers/arp_handler.py", "Python", 0, 0, 109, 0, 0, 17, 25, 151
"/home/lucho/projects/music/midi_echo/src/gui/handlers/base_handler.py", "Python", 0, 0, 14, 0, 0, 14, 8, 36
"/home/lucho/projects/music/midi_echo/src/gui/handlers/channel_handler.py", "Python", 0, 0, 44, 0, 0, 11, 16, 71
"/home/lucho/projects/music/midi_echo/src/gui/handlers/harmony_handler.py", "Python", 0, 0, 150, 0, 0, 14, 27, 191
"/home/lucho/projects/music/midi_echo/src/gui/handlers/octave_handler.py", "Python", 0, 0, 30, 0, 0, 5, 13, 48
"/home/lucho/projects/music/midi_echo/src/gui/handlers/panic_handler.py", "Python", 0, 0, 34, 0, 0, 8, 12, 54
"/home/lucho/projects/music/midi_echo/src/gui/handlers/preset_handler.py", "Python", 0, 0, 34, 0, 0, 12, 11, 57
"/home/lucho/projects/music/midi_echo/src/gui/handlers/scale_handler.py", "Python", 0, 0, 154, 0, 0, 8, 27, 189
"/home/lucho/projects/music/midi_echo/src/gui/handlers/transpose_handler.py", "Python", 0, 0, 191, 0, 0, 33, 31, 255
"/home/lucho/projects/music/midi_echo/src/gui/input/__init__.py", "Python", 0, 0, 2, 0, 0, 1, 3, 6
"/home/lucho/projects/music/midi_echo/src/gui/input/press_detector.py", "Python", 0, 0, 44, 0, 0, 34, 17, 95
"/home/lucho/projects/music/midi_echo/src/midi/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/lucho/projects/music/midi_echo/src/midi/arp/__init__.py", "Python", 0, 0, 3, 0, 0, 22, 3, 28
"/home/lucho/projects/music/midi_echo/src/midi/arp/dispatcher.py", "Python", 0, 0, 46, 0, 0, 47, 12, 105
"/home/lucho/projects/music/midi_echo/src/midi/arp/engine_refactored.py", "Python", 0, 0, 160, 0, 0, 101, 47, 308
"/home/lucho/projects/music/midi_echo/src/midi/arp/legacy_adapter.py", "Python", 0, 0, 14, 0, 0, 19, 3, 36
"/home/lucho/projects/music/midi_echo/src/midi/arp/modes.py", "Python", 0, 0, 86, 0, 0, 59, 37, 182
"/home/lucho/projects/music/midi_echo/src/midi/arp/note_producer.py", "Python", 0, 0, 66, 0, 0, 49, 19, 134
"/home/lucho/projects/music/midi_echo/src/midi/arp/state_validator.py", "Python", 0, 0, 194, 0, 0, 36, 46, 276
"/home/lucho/projects/music/midi_echo/src/midi/arp/timing.py", "Python", 0, 0, 61, 0, 0, 61, 23, 145
"/home/lucho/projects/music/midi_echo/src/midi/arp_engine.py", "Python", 0, 0, 2, 0, 0, 21, 3, 26
"/home/lucho/projects/music/midi_echo/src/midi/arp_state.py", "Python", 0, 0, 7, 0, 0, 12, 3, 22
"/home/lucho/projects/music/midi_echo/src/midi/engine.py", "Python", 0, 0, 78, 0, 0, 8, 19, 105
"/home/lucho/projects/music/midi_echo/src/midi/harmony/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/home/lucho/projects/music/midi_echo/src/midi/harmony/chord_analyzer.py", "Python", 0, 0, 22, 0, 0, 8, 12, 42
"/home/lucho/projects/music/midi_echo/src/midi/harmony/engine.py", "Python", 0, 0, 35, 0, 0, 8, 13, 56
"/home/lucho/projects/music/midi_echo/src/midi/harmony/harmony_generator.py", "Python", 0, 0, 20, 0, 0, 14, 10, 44
"/home/lucho/projects/music/midi_echo/src/midi/harmony/state.py", "Python", 0, 0, 32, 0, 0, 2, 9, 43
"/home/lucho/projects/music/midi_echo/src/midi/harmony/voice_manager.py", "Python", 0, 0, 26, 0, 0, 12, 11, 49
"/home/lucho/projects/music/midi_echo/src/midi/message_wrapper.py", "Python", 0, 0, 6, 0, 0, 9, 5, 20
"/home/lucho/projects/music/midi_echo/src/midi/ports.py", "Python", 0, 0, 35, 0, 0, 6, 11, 52
"/home/lucho/projects/music/midi_echo/src/midi/processor.py", "Python", 0, 0, 104, 0, 0, 27, 21, 152
"/home/lucho/projects/music/midi_echo/src/midi/scales.py", "Python", 0, 0, 61, 0, 0, 16, 15, 92
"/home/lucho/projects/music/midi_echo/test.py", "Python", 0, 0, 4, 0, 0, 0, 1, 5
"/home/lucho/projects/music/midi_echo/test_overlay.py", "Python", 0, 0, 52, 0, 0, 11, 13, 76
"/home/lucho/projects/music/midi_echo/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/home/lucho/projects/music/midi_echo/tests/conftest.py", "Python", 0, 0, 48, 0, 0, 5, 10, 63
"/home/lucho/projects/music/midi_echo/tests/gui/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/home/lucho/projects/music/midi_echo/tests/gui/handlers/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/home/lucho/projects/music/midi_echo/tests/gui/handlers/test_preset_handler.py", "Python", 0, 0, 67, 0, 0, 16, 35, 118
"/home/lucho/projects/music/midi_echo/tests/gui/handlers/test_transpose_handler.py", "Python", 0, 0, 26, 0, 0, 9, 14, 49
"/home/lucho/projects/music/midi_echo/tests/gui/test_pattern_tab.py", "Python", 0, 0, 45, 0, 0, 14, 16, 75
"/home/lucho/projects/music/midi_echo/tests/gui/test_theme.py", "Python", 0, 0, 63, 0, 0, 9, 21, 93
"/home/lucho/projects/music/midi_echo/tests/midi/arp/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/home/lucho/projects/music/midi_echo/tests/midi/arp/test_dispatcher.py", "Python", 0, 0, 117, 0, 0, 20, 46, 183
"/home/lucho/projects/music/midi_echo/tests/midi/arp/test_engine_integration.py", "Python", 0, 0, 175, 0, 0, 43, 68, 286
"/home/lucho/projects/music/midi_echo/tests/midi/arp/test_modes.py", "Python", 0, 0, 124, 0, 0, 43, 47, 214
"/home/lucho/projects/music/midi_echo/tests/midi/arp/test_note_producer.py", "Python", 0, 0, 104, 0, 0, 21, 30, 155
"/home/lucho/projects/music/midi_echo/tests/midi/arp/test_state_validator.py", "Python", 0, 0, 235, 0, 0, 44, 64, 343
"/home/lucho/projects/music/midi_echo/tests/midi/arp/test_timing.py", "Python", 0, 0, 98, 0, 0, 36, 37, 171
"/home/lucho/projects/music/midi_echo/tests/midi/test_arp_engine.py", "Python", 0, 0, 43, 0, 0, 5, 15, 63
"/home/lucho/projects/music/midi_echo/tests/midi/test_processor.py", "Python", 0, 0, 119, 0, 0, 19, 46, 184
"Total", "-", 194, 10, 5075, 46, 8, 1440, 1420, 8193